Number,Jar Number,Museum_number,PhD Tag,Species_name,Common Name,Field Collection ID,Collecting_site,Province,Country,GPS Coordinates,Collecting_year,Collecting_month,Collectiing_date,Observations,Photograph,Tagged,Dissection_date,Collector,Sex,Standard_length,Gonopodium_length,Wet-mass,Reproductive_state,Brood_number,Embryo_stage,Embryo_count,Stomach,Dry_mass,Brood_dry_mass,Brood_dry_mass_total,Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,155535,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,40.7,,1.3944,1,1,4,6,YES,,0.0328,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,28,155537,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,49.9,,2.6213,1,1,9,7,YES,0.4962,0.0381,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,28,155538,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,42.1,,1.4816,1,1,6,10,YES,0.2895,0.0313,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,28,155540,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,45.8,,2.263,1,1,7,6,YES,0.4778,0.0366,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,28,155541,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,0,34.5,,0.7022,0,0,NA,NA,YES,,NA,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,28,155546,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/1/22,Erik Johnson,2,44.4,,1.817,1,1,7,5,YES,0.3625,0.0274,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,28,155551,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,0,38.1,,0.93,0,0,NA,NA,YES,0.2055,NA,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,28,155553,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,36.3,,1.0189,1,1,3,5,YES,0.2001,0.0198,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,28,155562,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/1/22,Erik Johnson,2,49.5,,2.985,1,2,3,10,YES,0.6278,0.0705,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,28,155573,None,Priapichthys annectens,Olomina,97-21,Rio Colorado (Upper),Guanacaste,Costa Rica,(no GPS info in field journal),1997,May,5/5/97,Museum tags in jar but not individually attached.,YES,YES,4/5/22,Erik Johnson,2,48.6,,2.2885,1,1,4,4,YES,,0.0222,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
