Number,Jar Number,Museum_number,PhD Tag,Species_name,Common Name,Field Collection ID,Collecting_site,Province,Country,GPS Coordinates,Collecting_year,Collecting_month,Collectiing_date,Observations,Photograph,Tagged,Dissection_date,Collector,Sex,Standard_length,Gonopodium_length,Wet-mass,Reproductive_state,Brood_number,Embryo_stage,Embryo _count,Stomach,Dry_mass,Brood_dry_mass,Brood_dry_mass_total,Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154937,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,23.7,7.2,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154938,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,26,11.6,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154939,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,22.1,10.8,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154940,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,25.1,9.7,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154941,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,22.9,9.4,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154943,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,26.1,12.3,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154944,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,22.7,10.7,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154945,None,Priapichthys annectens,Olomina,11-Jun,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.454 W 85o 05.019,2006,February,2/11/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,22.8,7.9,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154879,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,33.1,13.75,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154880,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,24.2,10.7,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154881,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,25.6,11.3,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154882,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,30.7,13.35,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154883,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,32,14.3,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154884,None,Priapichthys annectens,Olomina,4-May,Quebrada Hormiguero,Guanacaste,Costa Rica,N 10o 41.445 W 85o 05.036,2005,January,1/27/05,Includes one small crab. Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,32.4,13.4,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,153951,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,29.5,12.8,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,153952,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,28,11.6,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154037,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,24.5,11.5,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154038,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,28.9,13.9,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154039,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,29.3,13.8,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154040,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,34.5,15.6,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154041,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,25.5,12.6,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154042,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,29.1,11.4,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154043,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,31,14.8,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154044,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,25.3,11.9,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154045,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,28.3,12.2,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154046,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,28.6,13,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154047,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,24,10.2,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154048,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,33.6,13.6,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154049,None,Priapichthys annectens,Olomina,21-Jun,Rio Bijagua,Alajuela,Costa Rica,N 10o 43.887 W 85o 03.318,2006,February,2/15/06,Museum tags in jar but not individually attached.,YES,YES,,Maren Callaway,1,25.6,11.7,,,,,,,,,,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
